JSE_rightsaware,JSE_access2info,JSE_access2assis,JSE_affordcosts,JSE_equality,ROL_constprotection_imp,TRT_police,COR_police,TRT_prosecutors,COR_prosecutors,TRT_judges,COR_judges,TRT_pda,COR_pda,LEP_safecom,LEP_safefam,LEP_policehelp,LEP_kindpol,LEP_polservcom
2,2,4,4,4,2,1,2,3,2,4,2,3,2,2,2,2,2,1
2,3,2,3,3,1,1,2,2,2,1,2,3,1,2,2,2,3,2
4,4,3,4,3,3,1,2,2,2,1,2,3,2,2,2,2,1,2
2,2,3,2,3,2,3,2,3,2,3,2,3,2,2,2,2,2,2
2,2,2,2,2,1,2,3,1,3,2,3,1,2,2,2,2,2,2
3,3,3,3,3,1,4,3,4,3,4,3,4,3,3,3,3,3,3
4,2,2,3,3,1,2,2,3,2,3,2,3,2,2,2,2,2,2
3,2,2,3,3,1,1,2,2,1,2,1,3,1,2,2,2,2,2
2,3,3,3,3,2,1,1,4,2,4,2,4,2,1,1,1,1,1
2,2,2,2,3,2,1,2,3,2,2,1,3,2,2,1,2,3,2
3,3,2,3,3,1,3,3,3,3,3,3,3,3,2,2,2,2,2
1,2,4,4,4,3,1,2,2,1,1,1,2,1,1,1,1,3,1
3,2,2,3,3,1,3,2,2,2,2,2,3,2,2,2,2,2,1
3,3,3,2,2,1,3,3,2,2,1,2,2,2,2,2,2,3,2
1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
1,2,3,3,3,1,2,3,1,4,1,3,2,2,2,1,2,3,3
2,2,2,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1
2,3,2,3,2,1,2,1,2,1,1,1,2,1,2,2,2,2,2
3,3,2,4,3,1,2,2,3,3,3,3,4,3,2,2,2,2,1
3,3,3,2,2,2,1,2,1,1,1,1,1,1,2,2,1,2,2
2,3,3,3,3,1,2,2,2,2,2,2,3,2,1,2,2,1,2
3,2,3,3,3,2,1,2,1,2,1,2,2,1,2,3,2,3,2
3,4,3,3,3,1,3,1,2,1,1,1,2,2,2,2,2,3,3
2,3,3,2,2,2,2,2,1,1,2,1,2,1,2,2,2,2,3
2,2,2,3,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2
3,2,2,3,3,1,2,2,2,2,2,2,2,2,2,2,2,3,2
1,2,2,2,2,3,1,1,1,1,2,2,2,2,1,1,1,1,1
3,2,2,2,2,2,1,1,3,2,2,1,2,1,2,2,2,2,2
2,2,3,2,2,1,3,2,3,1,3,1,3,2,3,3,2,1,2
3,4,3,4,3,2,2,2,1,1,1,1,2,1,3,3,3,3,3
2,2,2,3,3,1,3,2,3,2,2,2,4,2,4,3,3,4,4
3,2,3,4,4,1,1,2,2,2,2,2,2,2,2,1,2,2,2
3,2,2,3,3,2,2,2,2,2,3,2,2,2,3,3,2,3,3
2,3,3,4,4,1,1,1,4,2,4,2,3,2,1,1,2,1,1
2,2,2,3,2,1,3,2,3,2,2,2,3,2,2,2,2,2,2
3,3,2,1,2,1,3,2,1,1,1,1,1,2,2,2,2,2,2
3,2,2,3,3,2,3,2,2,1,2,2,2,1,3,4,2,4,4
3,3,3,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1
3,3,3,4,4,1,3,2,3,2,3,3,3,2,2,4,3,3,4
