country_year_id,umap_1,umap_2
Austria_2024_269,10.478965,10.991643
Austria_2024_339,7.5885315,10.3373785
Austria_2024_591,0.61086076,8.705004
Austria_2024_756,2.763645,10.265625
Austria_2024_854,1.4845073,5.5252776
Austria_2024_987,7.5896,12.729474
Austria_2024_1023,3.5167701,7.264484
Austria_2024_1129,8.29042,10.974782
Austria_2024_1315,5.360735,5.5267525
Austria_2024_1319,9.672925,8.273033
Austria_2024_1519,8.489916,11.885058
Austria_2024_1680,5.4967527,6.2653923
Austria_2024_1842,5.4501057,11.484243
Austria_2024_1877,2.7926164,13.266363
Austria_2024_1965,5.9308405,5.9278436
Austria_2024_2073,1.2345027,9.065043
Austria_2024_2146,0.0596846,10.73827
Austria_2024_2218,2.9583602,11.4980345
Austria_2024_2323,6.9770646,12.702019
Austria_2024_2482,2.8596227,11.833019
Austria_2024_2487,4.372242,5.3418155
Austria_2024_2582,3.3221579,7.253884
Austria_2024_2622,1.8570004,1.342539
Austria_2024_2651,6.434994,13.732116
Austria_2024_2720,9.534613,11.128407
Austria_2024_3348,6.524964,13.721924
Austria_2024_3456,4.4924316,11.021247
Austria_2024_3537,-0.7150185,9.058604
Austria_2024_3566,3.8837638,9.539166
Austria_2024_3750,3.3041825,3.2809746
Austria_2024_3775,4.299055,11.970944
Austria_2024_3882,10.275506,9.725402
Austria_2024_3884,8.197402,10.491684
Austria_2024_3927,10.574333,8.361994
Austria_2024_4039,7.1191087,5.9965763
Austria_2024_4295,8.360219,9.6337
Austria_2024_4470,1.5369289,6.950942
Austria_2024_4555,1.2118231,6.7296715
Austria_2024_4567,4.175148,4.186676
Austria_2024_4670,6.970255,12.810282
Austria_2024_4813,9.24224,11.63411
Austria_2024_4824,6.1250296,8.9326515
Austria_2024_4918,8.225817,7.80693
Austria_2024_5061,9.272336,8.56314
Austria_2024_5079,10.840898,9.987317
Austria_2024_5203,12.571193,7.221792
Austria_2024_5527,1.0086287,7.9766006
Austria_2024_5580,8.669336,7.139375
Austria_2024_5584,7.6858153,8.25872
Austria_2024_5601,7.11464,9.485533
Austria_2024_5800,1.8937801,11.916897
Austria_2024_5863,5.4623437,12.652123
Austria_2024_6007,11.518525,7.8571186
Austria_2024_6245,1.8024048,11.296935
Austria_2024_6256,1.8726441,10.313509
Austria_2024_6260,4.3124204,8.418906
Austria_2024_6423,7.400535,5.448505
Austria_2024_6481,3.6966155,10.429099
Austria_2024_6564,3.8252892,6.885758
Austria_2024_6803,8.08353,10.294484
Austria_2024_6844,6.4219937,6.032667
Austria_2024_6859,5.3999605,10.202695
Austria_2024_6882,2.417687,2.4277446
Austria_2024_7003,6.681644,6.897045
Austria_2024_7120,4.798137,8.176974
Austria_2024_7157,7.520614,11.21695
Austria_2024_7219,12.124444,9.472697
Austria_2024_7223,2.133933,1.5320189
Austria_2024_7266,3.561321,12.057016
Austria_2024_7294,2.389927,10.299286
Austria_2024_7577,4.55383,9.688377
Austria_2024_7742,11.981787,7.052359
Austria_2024_7743,8.872667,10.7274885
Austria_2024_7752,0.8313991,6.4706597
