country_year_id,umap_1,umap_2
Austria_2024_208,6.1807313,2.7458375
Austria_2024_278,7.6365166,0.6841322
Austria_2024_480,7.8574514,4.8141356
Austria_2024_606,6.059377,-2.9751053
Austria_2024_642,-0.07422215,1.052326
Austria_2024_849,4.7056212,7.0345874
Austria_2024_968,6.5826044,-0.57532346
Austria_2024_1082,9.565624,2.9636223
Austria_2024_1142,6.5814886,0.655565
Austria_2024_1205,2.249976,-0.540876
Austria_2024_1361,-0.5107336,-0.7078432
Austria_2024_1536,7.909697,-1.0746957
Austria_2024_1587,1.6613791,-1.3572344
Austria_2024_1597,8.820973,-2.249697
Austria_2024_1954,-0.8479565,3.2648892
Austria_2024_2104,8.278232,-2.5296369
Austria_2024_2126,8.008748,-1.6254582
Austria_2024_2191,3.8190036,-0.92655194
Austria_2024_2213,3.9488435,0.068534665
Austria_2024_2386,6.3007307,-1.3136181
Austria_2024_2389,0.12105245,-1.1428577
Austria_2024_2424,1.4453096,0.3406985
Austria_2024_2558,1.4725304,1.1906594
Austria_2024_2566,2.9913037,-3.008556
Austria_2024_2645,9.390393,0.6927463
Austria_2024_2756,4.759126,-0.17244333
Austria_2024_2817,0.27048695,1.8617707
Austria_2024_2832,-0.6706273,-0.73993945
Austria_2024_2834,5.431133,0.039516237
Austria_2024_3056,1.5773244,0.47674692
Austria_2024_3101,8.842621,-2.5045795
Austria_2024_3246,-0.85412204,-0.66683155
Austria_2024_3277,3.7365773,0.57950234
Austria_2024_3299,3.2869086,-0.06367682
Austria_2024_3335,3.4256892,-1.4823269
Austria_2024_3345,1.0581541,-1.0206192
Austria_2024_3393,7.366307,4.3467765
Austria_2024_3420,5.407131,0.3065904
Austria_2024_3543,0.7037395,-0.893345
Austria_2024_3605,10.098797,-0.2406514
Austria_2024_3648,4.4399114,5.736438
Austria_2024_3677,-1.0660032,-0.55074984
Austria_2024_3734,5.1866674,-0.035747193
Austria_2024_3746,6.542158,-1.6276988
Austria_2024_3753,8.944033,-2.5217073
Austria_2024_3904,9.160774,-0.9955088
Austria_2024_4001,3.474025,6.259593
Austria_2024_4068,4.550099,-3.6871824
Austria_2024_4148,6.503874,-2.8475215
Austria_2024_4163,3.2902122,0.0033540286
Austria_2024_4208,5.619967,-0.14796788
Austria_2024_4276,12.784448,2.8134446
Austria_2024_4485,0.74101484,2.247954
Austria_2024_4560,4.334646,0.07333147
Austria_2024_4716,3.4680223,1.4750599
Austria_2024_4738,1.5665895,-1.7825323
Austria_2024_4804,9.704084,0.009610988
Austria_2024_4823,8.985256,-2.6346984
Austria_2024_4882,-0.63979226,-0.53657144
Austria_2024_5085,1.365796,3.8842473
Austria_2024_5319,11.65056,2.1728582
Austria_2024_5417,5.836252,1.7404996
Austria_2024_5454,3.8599296,0.1868277
Austria_2024_5629,9.778507,-2.5222342
Austria_2024_5753,2.7985442,-0.5422744
Austria_2024_5819,7.8565707,-0.49636015
Austria_2024_5961,4.9695883,3.79479
Austria_2024_5969,-0.36103263,3.8132353
Austria_2024_6006,1.074345,-2.452033
Austria_2024_6040,4.5063987,5.7004027
Austria_2024_6083,6.1245084,-2.5732372
Austria_2024_6170,2.1166606,3.6224847
Austria_2024_6632,2.214453,3.1910603
Austria_2024_6717,11.183557,3.3069358
Austria_2024_6728,6.073135,0.89412594
Austria_2024_6814,5.7084684,6.917184
Austria_2024_6907,4.0243206,-0.6355998
Austria_2024_6973,3.4998689,-0.8579132
Austria_2024_7048,6.772057,3.9620538
Austria_2024_7187,5.033006,2.319214
