country_year_id,umap_1,umap_2
Austria_2024_36,5.7784476,11.335882
Austria_2024_108,0.3427536,10.58609
Austria_2024_514,1.4519204,13.417395
Austria_2024_677,2.410656,5.9471445
Austria_2024_719,9.644016,3.5401514
Austria_2024_847,8.475773,11.198512
Austria_2024_918,10.558466,5.601435
Austria_2024_1025,6.358824,10.288098
Austria_2024_1089,4.6125975,7.8915653
Austria_2024_1104,5.3498554,6.520478
Austria_2024_1278,12.708253,5.8930483
Austria_2024_1628,3.2684464,14.157827
Austria_2024_1818,5.1461287,12.2561865
Austria_2024_1898,0.35727406,10.632574
Austria_2024_2044,5.7361403,11.732933
Austria_2024_2129,7.7050233,11.529321
Austria_2024_2370,3.3101566,6.5076404
Austria_2024_2504,3.1877935,6.0975194
Austria_2024_2521,7.2230396,8.932437
Austria_2024_2543,9.65948,11.488526
Austria_2024_2544,9.052822,9.298612
Austria_2024_2598,8.389367,11.510623
Austria_2024_2626,3.2406259,12.65962
Austria_2024_2715,0.25753155,11.565827
Austria_2024_2736,1.3945314,12.712954
Austria_2024_2980,2.0185661,12.914187
Austria_2024_2992,-0.5212306,11.071617
Austria_2024_2995,5.8402734,10.132711
Austria_2024_3224,0.6074068,12.353209
Austria_2024_3367,4.300389,0.9828186
Austria_2024_3413,9.682825,4.1419897
Austria_2024_3516,4.37802,0.99704957
Austria_2024_3535,2.7885497,7.802807
Austria_2024_3581,2.1386583,7.493673
Austria_2024_3623,7.536669,9.120273
Austria_2024_3748,6.8459067,6.4226418
Austria_2024_3764,3.106452,7.889124
Austria_2024_3916,0.6902703,9.258239
Austria_2024_4036,3.8383653,12.279454
Austria_2024_4059,5.7923603,9.225308
Austria_2024_4061,0.452021,12.110213
Austria_2024_4274,1.4005907,12.549957
Austria_2024_4664,5.075397,9.897293
Austria_2024_4692,2.0877938,7.495522
Austria_2024_4905,8.443786,7.6213183
Austria_2024_5111,7.311653,10.390843
Austria_2024_5236,8.139245,12.036792
Austria_2024_5246,3.8576958,10.118222
Austria_2024_5405,0.0034782477,11.463569
Austria_2024_5491,4.319837,6.1323223
Austria_2024_5529,11.253612,11.4729185
Austria_2024_5557,8.923688,11.982681
