country_year_id,umap_1,umap_2
Austria_2024_161,6.488363,5.4769907
Austria_2024_243,-0.603256,8.507881
Austria_2024_258,5.3602524,13.2231045
Austria_2024_319,7.2846045,7.065438
Austria_2024_324,9.744598,1.2082367
Austria_2024_493,11.044898,10.240893
Austria_2024_672,4.5241823,10.646955
Austria_2024_797,0.57429206,10.349742
Austria_2024_823,7.1581373,9.129979
Austria_2024_931,6.186379,8.386526
Austria_2024_1088,8.823789,6.5430503
Austria_2024_1156,1.2814311,11.364193
Austria_2024_1162,1.3672353,10.318384
Austria_2024_1191,6.590918,6.1777606
Austria_2024_1583,7.2770934,7.818166
Austria_2024_1695,9.476147,2.9352791
Austria_2024_1747,-1.5444485,10.165971
Austria_2024_1839,2.038674,7.6662073
Austria_2024_1907,9.565058,7.0028567
Austria_2024_1943,1.2997892,11.608879
Austria_2024_2008,7.002732,6.9139447
Austria_2024_2180,1.3407757,11.596616
Austria_2024_2204,5.9778485,9.045665
Austria_2024_2208,1.4286734,11.739678
Austria_2024_2220,2.8099935,8.35695
Austria_2024_2223,2.9143286,6.309546
Austria_2024_2542,0.6084312,6.973539
Austria_2024_2599,2.1391606,4.981983
Austria_2024_2710,7.7553563,2.5482452
Austria_2024_2771,3.5170343,12.134998
Austria_2024_2818,7.43207,10.529298
Austria_2024_3075,4.90476,13.104065
Austria_2024_3128,4.8328605,5.588451
Austria_2024_3180,5.3215947,6.008646
Austria_2024_3243,5.4286795,5.7865033
Austria_2024_3530,0.98896265,10.16763
Austria_2024_3649,-1.3256408,8.800804
Austria_2024_3708,2.032222,7.877162
Austria_2024_3747,8.174672,12.108621
Austria_2024_3824,5.430084,10.752669
Austria_2024_3852,-0.007847387,11.2938795
Austria_2024_3981,9.238406,2.4152434
Austria_2024_4162,-3.1912098,5.642432
Austria_2024_4164,1.7608145,8.718392
Austria_2024_4215,9.256609,1.1497794
Austria_2024_4313,-2.4512937,6.7972393
Austria_2024_4400,3.2767155,7.9280605
Austria_2024_4429,6.669344,8.876885
Austria_2024_4518,10.679545,8.071226
Austria_2024_4533,1.1454989,6.4602733
Austria_2024_4573,10.045115,6.082925
Austria_2024_4763,4.5419865,11.71743
Austria_2024_5333,8.429878,10.133889
Austria_2024_5576,-0.2880931,10.988683
Austria_2024_5663,5.8428054,10.7041855
Austria_2024_5767,5.5778503,5.6535325
Austria_2024_5828,-1.1944673,9.664281
Austria_2024_6193,3.1615267,10.240209
Austria_2024_6199,-1.9852386,6.9622173
Austria_2024_6200,5.0528736,5.4570274
Austria_2024_6232,6.036627,8.852229
Austria_2024_6276,2.7285826,7.8923497
Austria_2024_6333,5.09933,12.686766
Austria_2024_6439,6.2586327,5.9558973
Austria_2024_6476,-1.0300725,9.1844225
Austria_2024_6565,9.637487,11.469227
Austria_2024_7112,9.334145,6.2777643
Austria_2024_7113,9.7687025,8.366592
Austria_2024_7192,1.4885558,10.662147
Austria_2024_7391,7.3085656,7.832438
Austria_2024_7485,5.4567184,9.450758
Austria_2024_7531,6.0189085,5.5620594
Austria_2024_7600,3.344578,10.217646
Austria_2024_7797,1.3714308,5.035478
Austria_2024_8043,2.4433727,6.225087
Austria_2024_8093,3.1106942,7.214933
Austria_2024_8116,4.1750503,8.609967
Austria_2024_8304,5.2105145,8.451381
Austria_2024_8423,6.641951,7.3917294
Austria_2024_8759,8.666182,11.463817
Austria_2024_8847,1.6059527,9.2194
Austria_2024_8849,-0.22003019,6.6328297
Austria_2024_8860,4.365929,4.426708
Austria_2024_8945,2.5575564,12.366198
Austria_2024_8947,2.6266477,6.89485
Austria_2024_9004,5.673062,13.364857
Austria_2024_9294,-0.7392812,9.465871
Austria_2024_9337,8.54248,9.234463
Austria_2024_9352,6.6033897,7.4223585
Austria_2024_9496,3.3684194,11.565878
Austria_2024_9655,3.3705215,6.954142
Austria_2024_9835,-1.989941,7.3470044
Austria_2024_9917,3.1526022,7.221281
Austria_2024_9965,5.327641,12.305354
Austria_2024_10006,3.726773,11.619708
Austria_2024_10022,4.1815624,5.895641
Austria_2024_10036,0.38896993,11.640326
